[28-Apr-2018 03:17:27 UTC] mail() on [/home/jewellc0/public_html/wp-includes/class-phpmailer.php:698]: To: jocelyn@heartcenteredwebdesign.com -- Headers: Date: Sat, 28 Apr 2018 03:17:27 +0000 From: WordPress <wordpress@jewellchiropractic.com> Message-ID: <62a2e60aa44b641b3ea15e11ce555053@jewellchiropractic.com> X-Mailer: PHPMailer 5.2.22 (https://github.com/PHPMailer/PHPMailer) MIME-Version: 1.0 Content-Type: text/plain; charset=UTF-8
[29-Apr-2018 04:43:17 UTC] mail() on [/home/jewellc0/public_html/wp-includes/class-phpmailer.php:698]: To: jocelyn@heartcenteredwebdesign.com -- Headers: Date: Sun, 29 Apr 2018 04:43:17 +0000 From: WordPress <wordpress@jewellchiropractic.com> Message-ID: <ce628ac75539a2b19782c20936397543@jewellchiropractic.com> X-Mailer: PHPMailer 5.2.22 (https://github.com/PHPMailer/PHPMailer) MIME-Version: 1.0 Content-Type: text/plain; charset=UTF-8
[30-Apr-2018 20:25:10 UTC] mail() on [/home/jewellc0/public_html/wp-includes/class-phpmailer.php:698]: To: jocelyn@heartcenteredwebdesign.com -- Headers: Date: Mon, 30 Apr 2018 20:25:10 +0000 From: Jewell Chiropractic <jocelyn@heartcenteredwebdesign.com> Reply-To: Maegan Megginson <maegan@ccstpdx.com> Message-ID: <e3ef1464588a199bb29bc50ea97708fb@jewellchiropractic.com> X-Mailer: PHPMailer 5.2.22 (https://github.com/PHPMailer/PHPMailer) MIME-Version: 1.0 Content-Type: text/plain; charset=UTF-8
[30-Apr-2018 22:43:00 UTC] mail() on [/home/jewellc0/public_html/wp-includes/class-phpmailer.php:698]: To: info@jewellchiropractic.com -- Headers: Date: Mon, 30 Apr 2018 22:43:00 +0000 From: WordPress <wordpress@jewellchiropractic.com> Message-ID: <5de451ebc63c518bf17903868b3d0a7b@jewellchiropractic.com> X-Mailer: PHPMailer 5.2.22 (https://github.com/PHPMailer/PHPMailer) MIME-Version: 1.0 Content-Type: text/plain; charset=UTF-8
[01-May-2018 01:30:25 UTC] mail() on [/home/jewellc0/public_html/wp-includes/class-phpmailer.php:698]: To: jocelyn@heartcenteredwebdesign.com -- Headers: Date: Tue, 1 May 2018 01:30:25 +0000 From: WordPress <wordpress@jewellchiropractic.com> Message-ID: <564c7d0e29057851b24a303d4f519af8@jewellchiropractic.com> X-Mailer: PHPMailer 5.2.22 (https://github.com/PHPMailer/PHPMailer) MIME-Version: 1.0 Content-Type: text/plain; charset=UTF-8
[01-May-2018 01:32:05 UTC] mail() on [/home/jewellc0/public_html/wp-includes/class-phpmailer.php:698]: To: info@jewellchiropractic.com -- Headers: Date: Tue, 1 May 2018 01:32:05 +0000 From: Jewell Chiropractic <info@jewellchiropractic.com> Reply-To: Jocelyn <jocelyn@heartcenteredwebdesign.com> Message-ID: <0bd42c67513d665a9c664884f60dcb6b@jewellchiropractic.com> X-Mailer: PHPMailer 5.2.22 (https://github.com/PHPMailer/PHPMailer) MIME-Version: 1.0 Content-Type: text/plain; charset=UTF-8
[01-May-2018 01:33:44 UTC] mail() on [/home/jewellc0/public_html/wp-includes/class-phpmailer.php:698]: To: info@jewellchiropractic.com -- Headers: Date: Tue, 1 May 2018 01:33:44 +0000 From: Jewell Chiropractic <info@jewellchiropractic.com> Reply-To: Jocelyn <jocelyn@heartcenteredwebdesign.com> Message-ID: <e39510144ccc7fed9d2eda23daca23e6@jewellchiropractic.com> X-Mailer: PHPMailer 5.2.22 (https://github.com/PHPMailer/PHPMailer) MIME-Version: 1.0 Content-Type: text/plain; charset=UTF-8
[01-May-2018 01:34:10 UTC] mail() on [/home/jewellc0/public_html/wp-includes/class-phpmailer.php:698]: To: info@jewellchiropractic.com -- Headers: Date: Tue, 1 May 2018 01:34:10 +0000 From: Jewell Chiropractic <info@jewellchiropractic.com> Reply-To: Jocelyn <jocelyn@heartcenteredwebdesign.com> Message-ID: <9f7cf781aec91a10433df66de5258b76@jewellchiropractic.com> X-Mailer: PHPMailer 5.2.22 (https://github.com/PHPMailer/PHPMailer) MIME-Version: 1.0 Content-Type: text/plain; charset=UTF-8
[01-May-2018 01:34:48 UTC] mail() on [/home/jewellc0/public_html/wp-includes/class-phpmailer.php:698]: To: info@jewellchiropractic.com -- Headers: Date: Tue, 1 May 2018 01:34:48 +0000 From: Jewell Chiropractic <info@jewellchiropractic.com> Reply-To: Jocelyn <jocelyn@heartcenteredwebdesign.com> Message-ID: <7f0819b63eb463a17d57195798e12d9e@jewellchiropractic.com> X-Mailer: PHPMailer 5.2.22 (https://github.com/PHPMailer/PHPMailer) MIME-Version: 1.0 Content-Type: text/plain; charset=UTF-8
[01-May-2018 01:35:10 UTC] mail() on [/home/jewellc0/public_html/wp-includes/class-phpmailer.php:698]: To: info@jewellchiropractic.com -- Headers: Date: Tue, 1 May 2018 01:35:10 +0000 From: Jewell Chiropractic <info@jewellchiropractic.com> Reply-To: Jocelyn <jocelyn@heartcenteredwebdesign.com> Message-ID: <e7b2c79e21aa963652b7342daff30a1f@jewellchiropractic.com> X-Mailer: PHPMailer 5.2.22 (https://github.com/PHPMailer/PHPMailer) MIME-Version: 1.0 Content-Type: text/plain; charset=UTF-8
[01-May-2018 01:35:32 UTC] mail() on [/home/jewellc0/public_html/wp-includes/class-phpmailer.php:698]: To: info@jewellchiropractic.com -- Headers: Date: Tue, 1 May 2018 01:35:32 +0000 From: Jewell Chiropractic <info@jewellchiropractic.com> Reply-To: Jocelyn <jocelyn@heartcenteredwebdesign.com> Message-ID: <ce6d9dbc2d28afd1353aaca9950367bb@jewellchiropractic.com> X-Mailer: PHPMailer 5.2.22 (https://github.com/PHPMailer/PHPMailer) MIME-Version: 1.0 Content-Type: text/plain; charset=UTF-8
